district_code,district_name,total_population,age_0_20_pct,age_21_40_pct,age_41_60_pct,age_61_75_pct,age_75_plus_pct
01001,"Flensburg, kreisfreie Stadt",96326.0,17.69,30.95,24.56,16.47,10.34
01002,"Kiel, kreisfreie Stadt",252668.0,16.75,33.19,24.12,16.03,9.91
01003,"Lübeck, kreisfreie Stadt",216889.0,16.89,26.05,25.97,18.61,12.48
01004,"Neumünster, kreisfreie Stadt",79809.0,18.16,24.93,26.24,18.81,11.86
01051,"Dithmarschen, Landkreis",133460.0,17.62,21.28,26.24,22.05,12.81
01053,"Herzogtum Lauenburg, Landkreis",206235.0,19.65,20.96,28.04,19.49,11.86
01054,"Nordfriesland, Landkreis",170029.0,17.6,21.38,26.78,21.69,12.56
01055,"Ostholstein, Landkreis",201472.0,15.89,18.77,27.28,23.5,14.56
01056,"Pinneberg, Landkreis",325223.0,19.09,21.87,28.39,18.76,11.89
01057,"Plön, Landkreis",130609.0,17.98,18.5,27.14,22.0,14.38
01058,"Rendsburg-Eckernförde, Landkreis",278058.0,18.74,20.45,27.54,20.88,12.39
01059,"Schleswig-Flensburg, Landkreis",205472.0,19.16,20.44,26.65,21.24,12.51
01060,"Segeberg, Landkreis",283562.0,19.02,22.11,28.46,18.85,11.56
01061,"Steinburg, Landkreis",132731.0,18.19,21.86,27.19,20.89,11.87
01062,"Stormarn, Landkreis",246974.0,19.63,19.62,28.77,19.17,12.81
02000,"Hamburg, kreisfreie Stadt",1862565.0,18.9,29.67,27.12,14.87,9.43
03101,"Braunschweig, kreisfreie Stadt",252962.0,16.55,29.44,25.62,17.09,11.3
03102,"Salzgitter, kreisfreie Stadt",104970.0,20.68,23.64,25.33,19.0,11.35
03103,"Wolfsburg, kreisfreie Stadt",129560.0,19.72,24.95,26.09,17.86,11.38
03151,"Gifhorn, Landkreis",175943.0,20.66,21.19,27.32,20.79,10.05
03152,"Göttingen, Landkreis (bis 31.10.2016)",0.0,,,,,
03153,"Goslar, Landkreis",126775.0,15.86,21.1,26.0,22.57,14.48
03154,"Helmstedt, Landkreis",90227.0,18.41,20.94,27.36,21.51,11.78
03155,"Northeim, Landkreis",125623.0,17.32,20.53,26.15,23.01,12.99
03156,"Osterode am Harz, Landkreis (bis 31.10.2016)",0.0,,,,,
03157,"Peine, Landkreis",137045.0,20.32,21.76,27.47,19.64,10.81
03158,"Wolfenbüttel, Landkreis",118290.0,18.07,21.07,27.23,21.11,12.52
03159,"Göttingen, Landkreis",328028.0,17.02,25.97,24.76,20.19,12.05
03201,"Hannover, kreisfreie Stadt (bis 31.10.2001)",0.0,,,,,
03241,"Region Hannover, Landkreis",1140888.0,18.53,25.73,26.56,17.98,11.2
03251,"Diepholz, Landkreis",221202.0,19.12,21.75,27.05,20.56,11.52
03252,"Hameln-Pyrmont, Landkreis",150203.0,18.28,21.21,25.9,21.44,13.17
03253,"Hannover, Landkreis (bis 31.10.2001)",0.0,,,,,
03254,"Hildesheim, Landkreis",267506.0,17.96,23.3,26.26,20.41,12.08
03255,"Holzminden, Landkreis",65581.0,17.59,20.8,25.71,22.41,13.49
03256,"Nienburg (Weser), Landkreis",121468.0,19.31,21.73,26.58,21.34,11.04
03257,"Schaumburg, Landkreis",156841.0,17.93,20.94,26.75,21.24,13.14
03351,"Celle, Landkreis",172449.0,19.35,21.64,26.44,20.68,11.9
03352,"Cuxhaven, Landkreis",198842.0,18.21,20.05,26.59,22.27,12.89
03353,"Harburg, Landkreis",265864.0,19.15,21.4,28.23,19.26,11.95
03354,"Lüchow-Dannenberg, Landkreis",46502.0,16.94,17.9,26.04,24.59,14.53
03355,"Lüneburg, Landkreis",179448.0,19.1,23.82,27.7,19.1,10.28
03356,"Osterholz, Landkreis",113598.0,19.21,19.6,27.65,21.23,12.31
03357,"Rotenburg (Wümme), Landkreis",165904.0,18.95,22.9,26.94,20.42,10.79
03358,Heidekreis,141321.0,18.9,22.17,26.64,20.7,11.6
03359,"Stade, Landkreis",207700.0,19.73,22.69,27.05,19.37,11.17
03360,"Uelzen, Landkreis",91638.0,17.56,20.93,26.32,22.31,12.88
03361,"Verden, Landkreis",138626.0,20.09,21.83,26.56,20.01,11.51
03401,"Delmenhorst, kreisfreie Stadt",81406.0,19.86,24.23,26.03,18.43,11.44
03402,"Emden, kreisfreie Stadt",49202.0,18.92,25.03,26.5,18.78,10.77
03403,"Oldenburg (Oldenburg), kreisfreie Stadt",176614.0,17.32,30.39,25.06,17.38,9.84
03404,"Osnabrück, kreisfreie Stadt",166057.0,17.2,32.51,24.48,16.24,9.57
03405,"Wilhelmshaven, kreisfreie Stadt",75745.0,16.98,25.08,24.11,20.18,13.66
03451,"Ammerland, Landkreis",127751.0,19.16,21.33,26.77,20.42,12.31
03452,"Aurich, Landkreis",188816.0,18.09,21.39,26.91,22.17,11.45
03453,"Cloppenburg, Landkreis",177025.0,22.3,25.78,26.29,17.83,7.8
03454,"Emsland, Landkreis",334539.0,20.36,24.25,26.98,19.2,9.21
03455,"Friesland, Landkreis",100411.0,17.52,20.52,26.07,22.05,13.84
03456,"Grafschaft Bentheim, Landkreis",144543.0,20.14,23.21,26.94,19.5,10.21
03457,"Leer, Landkreis",169103.0,19.62,22.65,26.66,20.56,10.51
03458,"Oldenburg, Landkreis",132008.0,19.14,21.69,27.7,20.36,11.11
03459,"Osnabrück, Landkreis",354821.0,19.99,22.09,26.82,20.37,10.73
03460,"Vechta, Landkreis",146539.0,21.66,25.87,26.8,17.75,7.93
03461,"Wesermarsch, Landkreis",88936.0,18.21,21.96,26.31,21.7,11.82
03462,"Wittmund, Landkreis",55969.0,17.89,20.36,26.06,23.21,12.47
04011,"Bremen, kreisfreie Stadt",586271.0,19.19,28.13,25.39,16.78,10.51
04012,"Bremerhaven, kreisfreie Stadt",118610.0,20.39,25.97,24.74,18.49,10.41
05111,"Düsseldorf, kreisfreie Stadt",618685.0,17.48,29.71,27.23,15.86,9.71
05112,"Duisburg, kreisfreie Stadt",502270.0,20.11,26.07,26.17,17.79,9.87
05113,"Essen, kreisfreie Stadt",574682.0,18.94,26.3,25.68,18.15,10.93
05114,"Krefeld, kreisfreie Stadt",231406.0,18.75,24.37,26.89,18.85,11.14
05116,"Mönchengladbach, kreisfreie Stadt",267213.0,19.08,25.58,25.99,19.03,10.32
05117,"Mülheim an der Ruhr, kreisfreie Stadt",173050.0,18.73,23.2,26.34,19.53,12.2
05119,"Oberhausen, kreisfreie Stadt",213646.0,18.94,23.85,26.44,20.12,10.66
05120,"Remscheid, kreisfreie Stadt",113828.0,18.98,23.74,26.96,19.07,11.24
05122,"Solingen, kreisfreie Stadt",165626.0,18.95,23.64,26.97,19.22,11.22
05124,"Wuppertal, kreisfreie Stadt",358193.0,19.62,26.02,25.82,17.91,10.63
05154,"Kleve, Landkreis",322018.0,18.6,24.55,26.76,20.02,10.07
05158,"Mettmann, Landkreis",490910.0,18.77,21.26,27.23,19.98,12.77
05162,Rhein-Kreis Neuss,457077.0,19.33,21.69,28.03,19.64,11.31
05166,"Viersen, Landkreis",297857.0,18.16,21.79,27.36,21.36,11.34
05170,"Wesel, Landkreis",457918.0,18.22,21.67,26.46,21.94,11.71
05313,"Aachen, kreisfreie Stadt (bis 20.10.2009)",0.0,,,,,
05314,"Bonn, kreisfreie Stadt",323336.0,18.72,29.9,25.65,16.17,9.56
05315,"Köln, kreisfreie Stadt",1024621.0,17.76,30.44,27.27,15.49,9.04
05316,"Leverkusen, kreisfreie Stadt",168581.0,19.17,24.42,27.13,18.12,11.16
05334,"Städteregion Aachen, Landkreis",582410.0,17.66,29.44,24.48,18.13,10.28
05354,"Aachen, Landkreis (bis 20.10.2009)",0.0,,,,,
05358,"Düren, Landkreis",279285.0,19.13,23.93,26.34,20.25,10.35
05362,Rhein-Erft-Kreis,477988.0,19.52,22.98,27.61,19.08,10.81
05366,"Euskirchen, Landkreis",202609.0,18.89,22.38,26.79,21.49,10.45
05370,"Heinsberg, Landkreis",263681.0,19.07,22.75,26.88,21.01,10.29
05374,Oberbergischer Kreis,274057.0,19.85,22.46,26.59,20.51,10.6
05378,Rheinisch-Bergischer Kreis,284273.0,18.78,20.66,27.72,20.53,12.3
05382,Rhein-Sieg-Kreis,605441.0,19.3,22.06,27.29,20.12,11.24
05512,"Bottrop, kreisfreie Stadt",118535.0,18.22,22.83,26.54,21.14,11.26
05513,"Gelsenkirchen, kreisfreie Stadt",267930.0,21.4,25.14,25.93,17.99,9.54
05515,"Münster, kreisfreie Stadt",308258.0,17.26,33.94,23.66,16.02,9.12
05554,"Borken, Landkreis",380796.0,20.5,23.82,26.9,19.44,9.34
05558,"Coesfeld, Landkreis",227859.0,19.5,21.96,26.84,21.08,10.62
05562,"Recklinghausen, Landkreis",621305.0,18.85,22.34,26.71,20.91,11.19
05566,"Steinfurt, Landkreis",451712.0,19.94,23.35,27.11,19.69,9.9
05570,"Warendorf, Landkreis",282639.0,19.72,22.34,27.09,20.13,10.71
05711,"Bielefeld, kreisfreie Stadt",331605.0,19.33,27.83,25.64,17.0,10.19
05754,"Gütersloh, Landkreis",363982.0,20.01,23.4,27.5,19.02,10.07
05758,"Herford, Landkreis",254404.0,19.33,22.29,26.86,20.14,11.38
05762,"Höxter, Landkreis",139252.0,18.65,21.7,26.19,22.01,11.45
05766,"Lippe, Landkreis",347149.0,20.12,22.33,25.59,20.35,11.6
05770,"Minden-Lübbecke, Landkreis",320557.0,19.9,22.73,26.08,20.21,11.09
05774,"Paderborn, Landkreis",315912.0,19.85,26.34,25.83,18.81,9.17
05911,"Bochum, kreisfreie Stadt",358676.0,17.19,27.8,25.37,18.67,10.97
05913,"Dortmund, kreisfreie Stadt",603462.0,19.16,27.21,26.13,17.47,10.02
05914,"Hagen, kreisfreie Stadt",190384.0,20.3,24.62,25.99,18.51,10.58
05915,"Hamm, kreisfreie Stadt",179968.0,19.57,24.89,26.53,18.63,10.38
05916,"Herne, kreisfreie Stadt",155851.0,19.33,24.7,26.33,18.83,10.81
05954,Ennepe-Ruhr-Kreis,314167.0,17.78,22.14,26.64,21.13,12.31
05958,Hochsauerlandkreis,260843.0,18.28,22.47,26.82,21.17,11.26
05962,Märkischer Kreis,408046.0,18.88,22.33,26.9,20.56,11.33
05966,"Olpe, Landkreis",132346.0,19.05,23.01,27.62,20.36,9.96
05970,"Siegen-Wittgenstein, Landkreis",274074.0,18.93,24.41,25.95,20.03,10.68
05974,"Soest, Landkreis",300297.0,18.76,22.58,27.21,20.69,10.76
05978,"Unna, Landkreis",393784.0,18.38,22.09,26.94,21.06,11.53
06411,"Darmstadt, kreisfreie Stadt",167029.0,18.11,34.81,23.77,14.64,8.68
06412,"Frankfurt am Main, kreisfreie Stadt",756021.0,18.66,31.87,27.7,13.99,7.79
06413,"Offenbach am Main, kreisfreie Stadt",132746.0,19.98,30.2,27.59,14.4,7.83
06414,"Wiesbaden, kreisfreie Stadt",288850.0,19.31,26.75,27.24,16.45,10.25
06431,"Bergstraße, Landkreis",274169.0,18.8,21.93,27.16,20.72,11.38
06432,"Darmstadt-Dieburg, Landkreis",302021.0,19.43,22.24,27.93,19.68,10.71
06433,"Groß-Gerau, Landkreis",268310.0,20.54,24.4,28.02,17.3,9.74
06434,Hochtaunuskreis,241664.0,19.86,19.96,28.99,18.49,12.7
06435,Main-Kinzig-Kreis,420914.0,19.33,23.03,27.33,19.38,10.93
06436,Main-Taunus-Kreis,238775.0,20.17,21.43,29.21,17.76,11.42
06437,Odenwaldkreis,93846.0,18.1,21.0,26.54,22.26,12.09
06438,"Offenbach, Landkreis",358022.0,19.81,23.37,27.63,18.06,11.12
06439,Rheingau-Taunus-Kreis,185651.0,18.46,20.45,28.13,20.72,12.25
06440,Wetteraukreis,311593.0,19.23,22.4,27.91,19.53,10.93
06531,"Gießen, Landkreis",268418.0,18.43,29.27,24.16,18.38,9.76
06532,Lahn-Dill-Kreis,254074.0,19.18,22.59,26.73,20.47,11.03
06533,"Limburg-Weilburg, Landkreis",173830.0,18.9,22.69,26.82,20.85,10.75
06534,"Marburg-Biedenkopf, Landkreis",242805.0,18.45,27.35,25.26,19.03,9.9
06535,Vogelsbergkreis,101163.0,17.71,20.06,26.43,23.76,12.04
06611,"Kassel, kreisfreie Stadt",197230.0,18.55,29.74,24.54,16.96,10.21
06631,"Fulda, Landkreis",222283.0,19.18,24.27,26.08,19.58,10.9
06632,"Hersfeld-Rotenburg, Landkreis",117414.0,18.6,20.9,26.44,21.67,12.38
06633,"Kassel, Landkreis",231073.0,18.21,20.68,26.75,21.38,12.98
06634,Schwalm-Eder-Kreis,180071.0,18.17,21.67,26.89,21.6,11.67
06635,"Waldeck-Frankenberg, Landkreis",155126.0,18.49,21.77,26.45,21.78,11.51
06636,Werra-Meißner-Kreis,97695.0,17.1,21.02,26.14,22.81,12.92
07111,"Koblenz, kreisfreie Stadt",113378.0,17.01,30.02,24.14,17.5,11.34
07131,"Ahrweiler, Landkreis",129353.0,17.61,21.85,26.01,21.77,12.76
07132,"Altenkirchen (Westerwald), Landkreis",132125.0,19.48,22.22,26.3,21.27,10.73
07133,"Bad Kreuznach, Landkreis",164748.0,18.61,21.75,26.52,21.68,11.45
07134,"Birkenfeld, Landkreis",82611.0,18.09,22.19,25.44,22.76,11.51
07135,"Cochem-Zell, Landkreis",61608.0,17.36,21.16,26.49,22.99,12.0
07137,"Mayen-Koblenz, Landkreis",217228.0,18.77,22.78,26.67,21.06,10.72
07138,"Neuwied, Landkreis",189061.0,19.5,22.53,25.99,20.93,11.05
07140,Rhein-Hunsrück-Kreis,106705.0,18.56,21.87,26.57,22.15,10.84
07141,Rhein-Lahn-Kreis,125588.0,18.51,21.45,26.9,21.7,11.44
07143,Westerwaldkreis,207803.0,19.09,22.31,27.26,20.98,10.36
07211,"Trier, kreisfreie Stadt",104342.0,17.12,31.88,24.8,16.98,9.22
07231,"Bernkastel-Wittlich, Landkreis",113187.0,18.21,21.64,26.95,22.14,11.04
07232,Eifelkreis Bitburg-Prüm,99788.0,19.48,22.79,27.09,21.04,9.6
07233,"Vulkaneifel, Landkreis",59313.0,17.37,21.27,25.91,23.74,11.71
07235,"Trier-Saarburg, Landkreis",148953.0,19.21,21.86,27.99,20.94,10.01
07311,"Frankenthal (Pfalz), kreisfreie Stadt",48140.0,19.34,23.66,25.98,18.95,12.08
07312,"Kaiserslautern, kreisfreie Stadt",100426.0,17.08,30.35,23.7,18.57,10.31
07313,"Landau in der Pfalz, kreisfreie Stadt",48209.0,17.78,29.49,24.59,18.45,9.69
07314,"Ludwigshafen am Rhein, kreisfreie Stadt",177222.0,20.74,27.12,26.37,16.37,9.4
07315,"Mainz, kreisfreie Stadt",224684.0,16.82,35.17,24.08,14.85,9.08
07316,"Neustadt an der Weinstraße, kreisfreie Stadt",52945.0,18.47,22.05,25.15,21.67,12.66
07317,"Pirmasens, kreisfreie Stadt",39761.0,18.08,23.73,24.21,21.67,12.31
07318,"Speyer, kreisfreie Stadt",49564.0,17.74,22.98,26.39,20.94,11.95
07319,"Worms, kreisfreie Stadt",86753.0,19.84,25.6,26.3,18.62,9.64
07320,"Zweibrücken, kreisfreie Stadt",33323.0,18.26,23.56,25.16,21.38,11.64
07331,"Alzey-Worms, Landkreis",131238.0,19.66,21.97,27.24,21.6,9.53
07332,"Bad Dürkheim, Landkreis",134329.0,17.79,19.88,27.17,22.9,12.25
07333,Donnersbergkreis,74783.0,18.72,21.06,26.77,23.09,10.36
07334,"Germersheim, Landkreis",131383.0,19.53,22.81,27.56,20.42,9.69
07335,"Kaiserslautern, Landkreis",106343.0,20.22,21.43,25.92,22.02,10.41
07336,"Kusel, Landkreis",69334.0,17.83,20.92,25.87,24.17,11.21
07337,"Südliche Weinstraße, Landkreis",113031.0,18.07,20.57,27.12,22.84,11.4
07338,Rhein-Pfalz-Kreis,155882.0,19.49,20.64,26.96,21.17,11.73
07339,"Mainz-Bingen, Landkreis",206454.0,19.62,20.56,28.49,20.79,10.54
07340,"Südwestpfalz, Landkreis",89974.0,16.78,19.75,26.26,24.69,12.51
08111,"Stuttgart, kreisfreie Stadt",612663.0,17.68,31.53,26.23,14.75,9.82
08115,"Böblingen, Landkreis",395167.0,20.37,24.18,27.27,17.55,10.63
08116,"Esslingen, Landkreis",536601.0,19.24,24.67,27.19,17.88,11.01
08117,"Göppingen, Landkreis",258809.0,19.6,23.42,26.5,19.19,11.28
08118,"Ludwigsburg, Landkreis",535374.0,20.01,24.2,27.49,17.76,10.54
08119,Rems-Murr-Kreis,440696.0,19.43,23.51,27.04,18.82,11.19
08121,"Heilbronn, kreisfreie Stadt",131986.0,20.06,28.95,25.68,15.55,9.76
08125,"Heilbronn, Landkreis",353877.0,20.15,23.96,27.27,18.88,9.74
08126,Hohenlohekreis,115644.0,19.78,24.44,26.6,19.64,9.54
08127,"Schwäbisch Hall, Landkreis",200902.0,20.2,24.5,26.61,19.39,9.29
08128,Main-Tauber-Kreis,133169.0,18.51,22.31,26.41,21.4,11.38
08135,"Heidenheim, Landkreis",135235.0,19.33,23.65,26.49,19.2,11.33
08136,Ostalbkreis,317427.0,19.54,23.86,26.68,19.37,10.55
08211,"Baden-Baden, kreisfreie Stadt",56881.0,16.79,21.27,26.54,21.0,14.4
08212,"Karlsruhe, kreisfreie Stadt",309050.0,16.64,31.93,25.16,16.23,10.04
08215,"Karlsruhe, Landkreis",456264.0,18.96,22.85,27.38,19.87,10.94
08216,"Rastatt, Landkreis",230737.0,18.75,22.37,27.07,20.79,11.02
08221,"Heidelberg, kreisfreie Stadt",155756.0,17.28,38.53,22.09,13.74,8.37
08222,"Mannheim, kreisfreie Stadt",318035.0,17.57,31.21,25.97,15.89,9.36
08225,Neckar-Odenwald-Kreis,145263.0,18.81,22.5,26.27,21.44,10.98
08226,Rhein-Neckar-Kreis,558561.0,19.13,22.66,27.3,19.6,11.32
08231,"Pforzheim, kreisfreie Stadt",134912.0,20.59,27.17,25.39,16.67,10.18
08235,"Calw, Landkreis",161251.0,19.82,23.04,26.49,20.21,10.44
08236,Enzkreis,199745.0,19.85,22.42,26.8,19.89,11.03
08237,"Freudenstadt, Landkreis",121958.0,19.29,23.63,26.6,20.11,10.37
08311,"Freiburg im Breisgau, kreisfreie Stadt",237460.0,18.15,34.86,23.18,15.18,8.63
08315,"Breisgau-Hochschwarzwald, Landkreis",272558.0,19.77,22.58,26.29,19.99,11.37
08316,"Emmendingen, Landkreis",169787.0,19.71,22.86,26.7,20.07,10.65
08317,Ortenaukreis,444858.0,19.64,23.56,26.35,20.02,10.44
08325,"Rottweil, Landkreis",140237.0,20.32,22.87,26.3,19.8,10.71
08326,Schwarzwald-Baar-Kreis,214065.0,19.71,23.76,25.47,19.62,11.43
08327,"Tuttlingen, Landkreis",145208.0,21.26,24.41,26.14,18.47,9.72
08335,"Konstanz, Landkreis",291841.0,18.81,25.87,25.43,18.8,11.1
08336,"Lörrach, Landkreis",238263.0,20.11,23.32,26.76,19.41,10.4
08337,"Waldshut, Landkreis",171579.0,20.25,22.62,26.24,20.26,10.63
08415,"Reutlingen, Landkreis",293483.0,19.76,23.86,26.7,19.02,10.66
08416,"Tübingen, Landkreis",233546.0,19.28,29.93,24.25,17.56,8.98
08417,Zollernalbkreis,193326.0,19.17,22.92,26.32,20.56,11.03
08421,"Ulm, kreisfreie Stadt",129882.0,18.43,31.17,25.04,15.36,10.0
08425,Alb-Donau-Kreis,202354.0,20.76,23.91,26.94,18.69,9.69
08426,"Biberach, Landkreis",207415.0,20.9,24.21,26.94,18.57,9.37
08435,Bodenseekreis,220804.0,18.99,22.28,26.5,19.75,12.48
08436,"Ravensburg, Landkreis",291102.0,19.9,24.65,26.37,18.73,10.34
08437,"Sigmaringen, Landkreis",132167.0,19.55,23.46,26.21,20.45,10.34
09161,"Ingolstadt, kreisfreie Stadt",141185.0,19.65,29.08,26.52,15.78,8.98
09162,"München, kreisfreie Stadt",1505005.0,17.69,32.86,26.7,13.56,9.18
09163,"Rosenheim, kreisfreie Stadt",65274.0,18.52,28.61,26.11,16.18,10.57
09171,"Altötting, Landkreis",113938.0,19.58,23.1,26.48,19.8,11.04
09172,"Berchtesgadener Land, Landkreis",105292.0,18.25,23.55,26.15,19.09,12.96
