district_code,district_name,available_beds
01001,"Flensburg, kreisfreie Stadt",129.6
01002,"Kiel, kreisfreie Stadt",102.1
01003,"Lübeck, kreisfreie Stadt",166.6
01004,"Neumünster, kreisfreie Stadt",166.4
01051,"Dithmarschen, Landkreis",136.4
01053,"Herzogtum Lauenburg, Landkreis",141.9
01054,"Nordfriesland, Landkreis",114.5
01055,"Ostholstein, Landkreis",184.7
01056,"Pinneberg, Landkreis",131.9
01057,"Plön, Landkreis",119.9
01058,"Rendsburg-Eckernförde, Landkreis",128.5
01059,"Schleswig-Flensburg, Landkreis",153.2
01060,"Segeberg, Landkreis",168.0
01061,"Steinburg, Landkreis",151.1
01062,"Stormarn, Landkreis",170.7
02000,"Hamburg, kreisfreie Stadt",109.7
03101,"Braunschweig, kreisfreie Stadt",130.8
03102,"Salzgitter, kreisfreie Stadt",147.9
03103,"Wolfsburg, kreisfreie Stadt",107.2
03151,"Gifhorn, Landkreis",104.8
03152,"Göttingen, Landkreis (bis 31.10.2016)",139.5
03153,"Goslar, Landkreis",233.9
03154,"Helmstedt, Landkreis",195.9
03155,"Northeim, Landkreis",181.6
03156,"Osterode am Harz, Landkreis (bis 31.10.2016)",282.4
03157,"Peine, Landkreis",156.2
03158,"Wolfenbüttel, Landkreis",138.0
03241,"Region Hannover, Landkreis",139.9
03251,"Diepholz, Landkreis",123.7
03252,"Hameln-Pyrmont, Landkreis",196.3
03254,"Hildesheim, Landkreis",167.3
03255,"Holzminden, Landkreis",184.9
03256,"Nienburg (Weser), Landkreis",163.0
03257,"Schaumburg, Landkreis",226.2
03351,"Celle, Landkreis",160.8
03352,"Cuxhaven, Landkreis",142.8
03353,"Harburg, Landkreis",99.5
03354,"Lüchow-Dannenberg, Landkreis",179.8
03355,"Lüneburg, Landkreis",142.6
03356,"Osterholz, Landkreis",139.2
03357,"Rotenburg (Wümme), Landkreis",126.2
03358,Heidekreis,142.4
03359,"Stade, Landkreis",111.0
03360,"Uelzen, Landkreis",200.4
03361,"Verden, Landkreis",149.6
03401,"Delmenhorst, kreisfreie Stadt",92.6
03402,"Emden, kreisfreie Stadt",100.0
03403,"Oldenburg (Oldenburg), kreisfreie Stadt",115.8
03404,"Osnabrück, kreisfreie Stadt",105.6
03405,"Wilhelmshaven, kreisfreie Stadt",150.5
03451,"Ammerland, Landkreis",99.6
03452,"Aurich, Landkreis",102.7
03453,"Cloppenburg, Landkreis",100.3
03454,"Emsland, Landkreis",90.7
03455,"Friesland, Landkreis",130.4
03456,"Grafschaft Bentheim, Landkreis",118.9
03457,"Leer, Landkreis",101.5
03458,"Oldenburg, Landkreis",141.0
03459,"Osnabrück, Landkreis",125.0
03460,"Vechta, Landkreis",102.4
03461,"Wesermarsch, Landkreis",164.5
03462,"Wittmund, Landkreis",124.8
04011,"Bremen, kreisfreie Stadt",113.7
04012,"Bremerhaven, kreisfreie Stadt",100.6
05111,"Düsseldorf, kreisfreie Stadt",89.5
05112,"Duisburg, kreisfreie Stadt",108.5
05113,"Essen, kreisfreie Stadt",125.5
05114,"Krefeld, kreisfreie Stadt",97.7
05116,"Mönchengladbach, kreisfreie Stadt",96.8
05117,"Mülheim an der Ruhr, kreisfreie Stadt",108.5
05119,"Oberhausen, kreisfreie Stadt",107.0
05120,"Remscheid, kreisfreie Stadt",97.1
05122,"Solingen, kreisfreie Stadt",124.9
05124,"Wuppertal, kreisfreie Stadt",117.5
05154,"Kleve, Landkreis",104.8
05158,"Mettmann, Landkreis",109.9
05162,Rhein-Kreis Neuss,73.1
05166,"Viersen, Landkreis",89.3
05170,"Wesel, Landkreis",103.1
05314,"Bonn, kreisfreie Stadt",99.2
05315,"Köln, kreisfreie Stadt",80.5
05316,"Leverkusen, kreisfreie Stadt",90.8
05334,"Städteregion Aachen, Landkreis",101.9
05358,"Düren, Landkreis",113.7
05362,Rhein-Erft-Kreis,82.9
05366,"Euskirchen, Landkreis",136.0
05370,"Heinsberg, Landkreis",116.3
05374,Oberbergischer Kreis,131.6
05378,Rheinisch-Bergischer Kreis,100.6
05382,Rhein-Sieg-Kreis,85.9
05512,"Bottrop, kreisfreie Stadt",119.6
05513,"Gelsenkirchen, kreisfreie Stadt",105.3
05515,"Münster, kreisfreie Stadt",89.9
05554,"Borken, Landkreis",82.7
05558,"Coesfeld, Landkreis",112.5
05562,"Recklinghausen, Landkreis",118.6
05566,"Steinfurt, Landkreis",93.5
05570,"Warendorf, Landkreis",90.1
05711,"Bielefeld, kreisfreie Stadt",93.7
05754,"Gütersloh, Landkreis",81.9
05758,"Herford, Landkreis",109.1
05762,"Höxter, Landkreis",123.3
05766,"Lippe, Landkreis",119.4
05770,"Minden-Lübbecke, Landkreis",137.5
05774,"Paderborn, Landkreis",87.7
05911,"Bochum, kreisfreie Stadt",102.1
05913,"Dortmund, kreisfreie Stadt",103.4
05914,"Hagen, kreisfreie Stadt",119.7
05915,"Hamm, kreisfreie Stadt",109.3
05916,"Herne, kreisfreie Stadt",125.1
05954,Ennepe-Ruhr-Kreis,127.1
05958,Hochsauerlandkreis,102.6
05962,Märkischer Kreis,115.5
05966,"Olpe, Landkreis",106.5
05970,"Siegen-Wittgenstein, Landkreis",91.5
05974,"Soest, Landkreis",145.3
05978,"Unna, Landkreis",107.3
06411,"Darmstadt, kreisfreie Stadt",99.7
06412,"Frankfurt am Main, kreisfreie Stadt",71.4
06413,"Offenbach am Main, kreisfreie Stadt",77.1
06414,"Wiesbaden, kreisfreie Stadt",86.5
06431,"Bergstraße, Landkreis",106.0
06432,"Darmstadt-Dieburg, Landkreis",70.4
06433,"Groß-Gerau, Landkreis",74.8
06434,Hochtaunuskreis,112.5
06435,Main-Kinzig-Kreis,94.6
06436,Main-Taunus-Kreis,75.3
06437,Odenwaldkreis,134.3
06438,"Offenbach, Landkreis",70.6
06439,Rheingau-Taunus-Kreis,89.9
06440,Wetteraukreis,106.3
06531,"Gießen, Landkreis",90.0
06532,Lahn-Dill-Kreis,111.9
06533,"Limburg-Weilburg, Landkreis",101.7
06534,"Marburg-Biedenkopf, Landkreis",103.0
06535,Vogelsbergkreis,120.4
06611,"Kassel, kreisfreie Stadt",104.3
06631,"Fulda, Landkreis",126.6
06632,"Hersfeld-Rotenburg, Landkreis",122.8
06633,"Kassel, Landkreis",146.8
06634,Schwalm-Eder-Kreis,129.0
06635,"Waldeck-Frankenberg, Landkreis",152.6
06636,Werra-Meißner-Kreis,156.5
07111,"Koblenz, kreisfreie Stadt",151.2
07131,"Ahrweiler, Landkreis",138.9
07132,"Altenkirchen (Westerwald), Landkreis",115.4
07133,"Bad Kreuznach, Landkreis",104.1
07134,"Birkenfeld, Landkreis",139.9
07135,"Cochem-Zell, Landkreis",157.6
07137,"Mayen-Koblenz, Landkreis",101.2
07138,"Neuwied, Landkreis",130.1
07140,Rhein-Hunsrück-Kreis,119.3
07141,Rhein-Lahn-Kreis,108.6
07143,Westerwaldkreis,118.8
07211,"Trier, kreisfreie Stadt",103.3
07231,"Bernkastel-Wittlich, Landkreis",104.5
07232,Eifelkreis Bitburg-Prüm,90.1
07233,"Vulkaneifel, Landkreis",138.9
07235,"Trier-Saarburg, Landkreis",110.9
07311,"Frankenthal (Pfalz), kreisfreie Stadt",135.6
07312,"Kaiserslautern, kreisfreie Stadt",121.0
07313,"Landau in der Pfalz, kreisfreie Stadt",120.5
07314,"Ludwigshafen am Rhein, kreisfreie Stadt",96.0
07315,"Mainz, kreisfreie Stadt",83.7
07316,"Neustadt an der Weinstraße, kreisfreie Stadt",88.9
07317,"Pirmasens, kreisfreie Stadt",175.3
07318,"Speyer, kreisfreie Stadt",179.9
07319,"Worms, kreisfreie Stadt",137.2
07320,"Zweibrücken, kreisfreie Stadt",113.0
07331,"Alzey-Worms, Landkreis",78.7
07332,"Bad Dürkheim, Landkreis",125.2
07333,Donnersbergkreis,133.3
07334,"Germersheim, Landkreis",82.1
07335,"Kaiserslautern, Landkreis",97.3
07336,"Kusel, Landkreis",96.6
07337,"Südliche Weinstraße, Landkreis",66.4
07338,Rhein-Pfalz-Kreis,85.4
07339,"Mainz-Bingen, Landkreis",72.1
07340,"Südwestpfalz, Landkreis",76.7
08111,"Stuttgart, kreisfreie Stadt",95.7
08115,"Böblingen, Landkreis",78.6
08116,"Esslingen, Landkreis",85.9
08117,"Göppingen, Landkreis",97.0
08118,"Ludwigsburg, Landkreis",82.6
08119,Rems-Murr-Kreis,100.7
08121,"Heilbronn, kreisfreie Stadt",143.8
08125,"Heilbronn, Landkreis",100.4
08126,Hohenlohekreis,121.3
08127,"Schwäbisch Hall, Landkreis",104.6
08128,Main-Tauber-Kreis,127.3
08135,"Heidenheim, Landkreis",114.7
08136,Ostalbkreis,102.6
08211,"Baden-Baden, kreisfreie Stadt",175.8
08212,"Karlsruhe, kreisfreie Stadt",112.6
08215,"Karlsruhe, Landkreis",109.1
08216,"Rastatt, Landkreis",77.4
08221,"Heidelberg, kreisfreie Stadt",75.5
08222,"Mannheim, kreisfreie Stadt",108.5
08225,Neckar-Odenwald-Kreis,142.3
08226,Rhein-Neckar-Kreis,97.6
08231,"Pforzheim, kreisfreie Stadt",152.1
08235,"Calw, Landkreis",118.3
08236,Enzkreis,100.7
08237,"Freudenstadt, Landkreis",142.3
08311,"Freiburg im Breisgau, kreisfreie Stadt",95.5
08315,"Breisgau-Hochschwarzwald, Landkreis",86.8
08316,"Emmendingen, Landkreis",86.0
08317,Ortenaukreis,116.4
08325,"Rottweil, Landkreis",103.1
08326,Schwarzwald-Baar-Kreis,120.5
08327,"Tuttlingen, Landkreis",90.1
08335,"Konstanz, Landkreis",110.7
08336,"Lörrach, Landkreis",94.3
08337,"Waldshut, Landkreis",107.6
08415,"Reutlingen, Landkreis",87.5
08416,"Tübingen, Landkreis",72.9
08417,Zollernalbkreis,93.0
08421,"Ulm, kreisfreie Stadt",123.6
08425,Alb-Donau-Kreis,86.6
08426,"Biberach, Landkreis",90.8
08435,Bodenseekreis,81.1
08436,"Ravensburg, Landkreis",97.3
08437,"Sigmaringen, Landkreis",83.9
09161,"Ingolstadt, kreisfreie Stadt",92.9
09162,"München, kreisfreie Stadt",54.7
09163,"Rosenheim, kreisfreie Stadt",72.1
09171,"Altötting, Landkreis",133.0
09172,"Berchtesgadener Land, Landkreis",141.3
09173,"Bad Tölz-Wolfratshausen, Landkreis",96.7
09174,"Dachau, Landkreis",107.4
09175,"Ebersberg, Landkreis",79.1
09176,"Eichstätt, Landkreis",74.6
09177,"Erding, Landkreis",74.2
09178,"Freising, Landkreis",71.4
09179,"Fürstenfeldbruck, Landkreis",100.7
09180,"Garmisch-Partenkirchen, Landkreis",133.3
09181,"Landsberg am Lech, Landkreis",59.7
09182,"Miesbach, Landkreis",101.9
09183,"Mühldorf am Inn, Landkreis",143.3
09184,"München, Landkreis",104.5
09185,"Neuburg-Schrobenhausen, Landkreis",101.0
09186,"Pfaffenhofen an der Ilm, Landkreis",82.9
09187,"Rosenheim, Landkreis",146.0
09188,"Starnberg, Landkreis",83.0
09189,"Traunstein, Landkreis",111.9
09190,"Weilheim-Schongau, Landkreis",82.4
09261,"Landshut, kreisfreie Stadt",189.6
09262,"Passau, kreisfreie Stadt",201.0
09263,"Straubing, kreisfreie Stadt",193.6
09271,"Deggendorf, Landkreis",131.1
09272,"Freyung-Grafenau, Landkreis",88.9
09273,"Kelheim, Landkreis",101.9
09274,"Landshut, Landkreis",81.2
09275,"Passau, Landkreis",126.7
09276,"Regen, Landkreis",109.4
09277,"Rottal-Inn, Landkreis",123.2
09278,"Straubing-Bogen, Landkreis",72.3
09279,"Dingolfing-Landau, Landkreis",91.7
09361,"Amberg, kreisfreie Stadt",170.9
09362,"Regensburg, kreisfreie Stadt",136.3
09363,"Weiden in der Oberpfalz, kreisfreie Stadt",173.5
09371,"Amberg-Sulzbach, Landkreis",136.0
09372,"Cham, Landkreis",115.8
09373,"Neumarkt in der Oberpfalz, Landkreis",116.1
09374,"Neustadt an der Waldnaab, Landkreis",112.5
09375,"Regensburg, Landkreis",104.0
09376,"Schwandorf, Landkreis",123.7
09377,"Tirschenreuth, Landkreis",148.2
09461,"Bamberg, kreisfreie Stadt",139.7
09462,"Bayreuth, kreisfreie Stadt",169.1
09463,"Coburg, kreisfreie Stadt",164.7
09464,"Hof, kreisfreie Stadt",168.5
09471,"Bamberg, Landkreis",108.0
09472,"Bayreuth, Landkreis",138.1
09473,"Coburg, Landkreis",124.3
09474,"Forchheim, Landkreis",103.7
09475,"Hof, Landkreis",171.1
09476,"Kronach, Landkreis",111.3
09477,"Kulmbach, Landkreis",122.1
09478,"Lichtenfels, Landkreis",138.3
09479,"Wunsiedel im Fichtelgebirge, Landkreis",147.5
09561,"Ansbach, kreisfreie Stadt",205.1
09562,"Erlangen, kreisfreie Stadt",111.5
09563,"Fürth, kreisfreie Stadt",120.9
09564,"Nürnberg, kreisfreie Stadt",116.4
09565,"Schwabach, kreisfreie Stadt",144.1
09571,"Ansbach, Landkreis",103.4
09572,"Erlangen-Höchstadt, Landkreis",93.7
09573,"Fürth, Landkreis",121.2
09574,"Nürnberger Land, Landkreis",126.0
09575,"Neustadt an der Aisch-Bad Windsheim, Landkreis",115.2
09576,"Roth, Landkreis",84.2
09577,"Weißenburg-Gunzenhausen, Landkreis",113.4
09661,"Aschaffenburg, kreisfreie Stadt",111.7
09662,"Schweinfurt, kreisfreie Stadt",170.5
09663,"Würzburg, kreisfreie Stadt",169.1
09671,"Aschaffenburg, Landkreis",82.6
09672,"Bad Kissingen, Landkreis",158.4
09673,"Rhön-Grabfeld, Landkreis",127.3
09674,"Haßberge, Landkreis",88.1
09675,"Kitzingen, Landkreis",131.9
09676,"Miltenberg, Landkreis",100.5
09677,"Main-Spessart, Landkreis",116.5
09678,"Schweinfurt, Landkreis",97.3
09679,"Würzburg, Landkreis",80.1
09761,"Augsburg, kreisfreie Stadt",123.9
09762,"Kaufbeuren, kreisfreie Stadt",135.5
09763,"Kempten (Allgäu), kreisfreie Stadt",122.2
09764,"Memmingen, kreisfreie Stadt",136.2
09771,"Aichach-Friedberg, Landkreis",73.3
09772,"Augsburg, Landkreis",84.0
09773,"Dillingen an der Donau, Landkreis",113.2
09774,"Günzburg, Landkreis",91.6
09775,"Neu-Ulm, Landkreis",83.1
09776,"Lindau (Bodensee), Landkreis",154.7
09777,"Ostallgäu, Landkreis",90.5
09778,"Unterallgäu, Landkreis",101.2
09779,"Donau-Ries, Landkreis",82.4
09780,"Oberallgäu, Landkreis",93.5
10041,"Regionalverband Saarbrücken, Landkreis",125.7
10042,"Merzig-Wadern, Landkreis",154.5
10043,"Neunkirchen, Landkreis",138.6
10044,"Saarlouis, Landkreis",109.0
10045,Saarpfalz-Kreis,120.2
10046,"Sankt Wendel, Landkreis",123.9
11000,"Berlin, kreisfreie Stadt",98.9
12051,"Brandenburg an der Havel, kreisfreie Stadt",106.0
12052,"Cottbus, kreisfreie Stadt",129.0
12053,"Frankfurt (Oder), kreisfreie Stadt",155.3
12054,"Potsdam, kreisfreie Stadt",91.4
12060,"Barnim, Landkreis",146.0
12061,"Dahme-Spreewald, Landkreis",92.2
12062,"Elbe-Elster, Landkreis",96.6
12063,"Havelland, Landkreis",88.5
12064,"Märkisch-Oderland, Landkreis",116.2
12065,"Oberhavel, Landkreis",111.3
12066,"Oberspreewald-Lausitz, Landkreis",119.6
12067,"Oder-Spree, Landkreis",105.7
12068,"Ostprignitz-Ruppin, Landkreis",122.6
12069,"Potsdam-Mittelmark, Landkreis",104.5
12070,"Prignitz, Landkreis",149.8
12071,"Spree-Neiße, Landkreis",113.3
12072,"Teltow-Fläming, Landkreis",127.1
12073,"Uckermark, Landkreis",108.0
13003,"Rostock, kreisfreie Stadt",122.9
13004,"Schwerin, kreisfreie Stadt",172.8
13071,"Mecklenburgische Seenplatte, Landkreis",120.3
13072,"Rostock, Landkreis",145.8
13073,"Vorpommern-Rügen, Landkreis",136.3
13074,"Nordwestmecklenburg, Landkreis",128.0
13075,"Vorpommern-Greifswald, Landkreis",127.3
13076,"Ludwigslust-Parchim, Landkreis",122.7
14511,"Chemnitz, kreisfreie Stadt",138.9
14521,Erzgebirgskreis,119.2
14522,"Mittelsachsen, Landkreis",127.1
14523,Vogtlandkreis,145.4
14524,"Zwickau, Landkreis",152.8
14612,"Dresden, kreisfreie Stadt",112.0
14625,"Bautzen, Landkreis",119.1
14626,"Görlitz, Landkreis",147.4
14627,"Meißen, Landkreis",118.1
14628,"Sächsische Schweiz-Osterzgebirge, Landkreis",137.7
14713,"Leipzig, kreisfreie Stadt",119.5
14729,"Leipzig, Landkreis",123.0
14730,"Nordsachsen, Landkreis",128.3
15001,"Dessau-Roßlau, kreisfreie Stadt",158.2
15002,"Halle (Saale), kreisfreie Stadt",133.6
15003,"Magdeburg, kreisfreie Stadt",131.5
15081,Altmarkkreis Salzwedel,124.8
15082,"Anhalt-Bitterfeld, Landkreis",126.1
15083,"Börde, Landkreis",130.6
15084,Burgenlandkreis,151.4
15085,"Harz, Landkreis",176.7
15086,"Jerichower Land, Landkreis",171.3
15087,"Mansfeld-Südharz, Landkreis",135.4
15088,Saalekreis,84.9
15089,Salzlandkreis,163.5
15090,"Stendal, Landkreis",143.6
15091,"Wittenberg, Landkreis",116.4
16051,"Erfurt, kreisfreie Stadt",124.1
16052,"Gera, kreisfreie Stadt",136.8
16053,"Jena, kreisfreie Stadt",108.4
16054,"Suhl, kreisfreie Stadt",128.4
16055,"Weimar, kreisfreie Stadt",145.5
16056,"Eisenach, kreisfreie Stadt (bis 30.06.2021)",143.1
16061,"Eichsfeld, Landkreis",104.0
16062,"Nordhausen, Landkreis",174.5
16063,Wartburgkreis,104.1
16064,Unstrut-Hainich-Kreis,142.8
16065,Kyffhäuserkreis,124.3
16066,"Schmalkalden-Meiningen, Landkreis",117.6
16067,"Gotha, Landkreis",117.3
16068,"Sömmerda, Landkreis",100.2
16069,"Hildburghausen, Landkreis",150.8
16070,Ilm-Kreis,113.7
16071,"Weimarer Land, Landkreis",108.9
16072,"Sonneberg, Landkreis",131.7
16073,"Saalfeld-Rudolstadt, Landkreis",121.5
16074,Saale-Holzland-Kreis,85.5
16075,Saale-Orla-Kreis,94.0
16076,"Greiz, Landkreis",132.0
16077,"Altenburger Land, Landkreis",140.3
